lineHeight	32
texture		"arial-32.png"
# character	x1	y1	w	h	xOffset	yOffset	adv	
32		72	77	1	1	0 		26		8
33		100	161	2	20	3 		6 		8
34		134	196	7	7	1 		6 		10
35		241	74	14	20	0 		6 		15
36		87	53	13	23	1 		5 		15
37		0 	79	20	20	2 		6 		24
38		54	100	16	20	1 		6 		18
39		150	196	2	7	1 		6 		5
40		196	27	6	25	2 		6 		9
41		203	27	6	25	1 		6 		9
42		123	197	10	8	1 		6 		11
43		233	175	12	12	1 		10		16
44		160	195	2	6	2 		24		8
45		232	191	7	2	1 		18		9
46		247	185	2	2	2 		24		8
47		36	163	9	20	0 		6 		8
48		146	118	13	20	1 		6 		15
49		74	163	7	20	3 		6 		15
50		164	138	12	20	1 		6 		15
51		132	118	13	20	1 		6 		15
52		118	118	13	20	1 		6 		15
53		90	119	13	20	1 		6 		15
54		84	142	13	20	1 		6 		15
55		138	139	12	20	1 		6 		15
56		70	142	13	20	1 		6 		15
57		216	116	13	20	1 		6 		15
58		190	177	2	15	3 		11		8
59		143	160	2	19	3 		11		8
60		207	177	12	13	2 		10		16
61		95	200	13	8	1 		12		16
62		220	177	12	13	2 		10		16
63		202	116	13	20	1 		6 		15
64		0 	0 	25	26	1 		6 		27
65		125	76	19	20	-1		6 		18
66		203	95	15	20	2 		6 		18
67		204	74	18	20	1 		6 		20
68		18	100	17	20	2 		6 		20
69		219	95	15	20	2 		6 		18
70		60	121	14	20	2 		6 		17
71		185	74	18	20	1 		6 		21
72		139	97	15	20	2 		6 		19
73		91	163	2	20	3 		6 		8
74		24	163	11	20	0 		6 		13
75		105	97	16	20	2 		6 		18
76		177	138	12	20	2 		6 		15
77		36	100	17	20	3 		6 		23
78		171	96	15	20	2 		6 		19
79		165	75	19	20	1 		6 		21
80		30	121	14	20	2 		6 		17
81		122	53	19	22	1 		6 		21
82		0 	100	17	20	2 		6 		20
83		88	98	16	20	1 		6 		18
84		0 	121	14	20	1 		6 		16
85		187	95	15	20	2 		6 		19
86		105	76	19	20	-1		6 		17
87		197	53	27	20	0 		6 		28
88		223	74	17	20	0 		6 		17
89		122	97	16	20	1 		6 		18
90		71	100	16	20	0 		6 		17
91		216	27	5	25	2 		6 		8
92		46	163	9	20	-1		6 		8
93		210	27	5	25	1 		6 		8
94		51	200	10	10	1 		6 		12
95		190	193	16	2	-1		29		15
96		178	195	5	4	1 		6 		9
97		76	184	13	15	1 		11		15
98		190	137	12	20	2 		6 		15
99		132	180	12	15	1 		11		14
100		203	137	12	20	1 		6 		15
101		118	181	13	15	1 		11		15
102		65	163	8	20	0 		6 		7
103		216	137	12	20	1 		11		15
104		12	163	11	20	2 		6 		15
105		97	163	2	20	2 		6 		6
106		189	27	6	25	-2		6 		6
107		229	137	12	20	2 		6 		14
108		94	163	2	20	2 		6 		6
109		236	158	18	15	2 		11		22
110		170	179	11	15	2 		11		15
111		90	184	13	15	1 		11		15
112		112	140	12	20	2 		11		15
113		125	139	12	20	1 		11		15
114		182	178	7	15	2 		11		9
115		145	180	12	15	1 		11		14
116		248	52	7	20	0 		6 		8
117		158	179	11	15	2 		11		15
118		45	184	15	15	-1		11		13
119		23	184	21	15	-1		11		19
120		104	181	13	15	0 		11		12
121		235	95	14	20	0 		11		14
122		61	184	14	15	-1		11		13
123		171	27	8	25	1 		6 		9
124		225	27	2	25	2 		6 		6
125		180	27	8	25	0 		6 		9
126		163	195	14	4	1 		14		16
160		74	77	1	1	0 		26		8
161		88	163	2	20	3 		11		8
162		32	27	12	26	1 		6 		15
163		15	121	14	20	0 		6 		15
164		193	177	13	13	1 		10		15
165		45	121	14	20	0 		6 		15
166		222	27	2	25	2 		6 		6
167		144	27	13	25	1 		6 		15
168		240	188	6	2	1 		6 		9
169		63	79	20	20	0 		6 		20
170		246	174	8	10	1 		6 		10
171		0 	200	11	12	2 		13		15
172		109	197	13	8	1 		12		16
173		224	191	7	2	1 		18		9
174		42	79	20	20	0 		6 		20
175		207	191	16	2	-1		3 		15
176		142	196	7	7	2 		6 		11
177		223	158	12	16	1 		10		15
178		62	200	8	10	0 		6 		9
179		80	200	8	10	0 		6 		9
180		184	194	5	4	3 		6 		9
181		151	139	12	20	2 		11		16
182		97	27	15	25	0 		6 		15
183		250	185	2	2	3 		16		9
184		153	196	6	6	0 		26		9
185		89	200	5	10	2 		6 		9
186		71	200	8	10	1 		6 		10
187		12	200	11	12	2 		13		15
188		84	77	20	20	2 		6 		23
189		21	79	20	20	2 		6 		23
190		225	53	22	20	0 		6 		23
191		104	119	13	20	2 		11		17
192		66	0 	19	26	-1		0 		18
193		86	0 	19	26	-1		0 		18
194		106	0 	19	26	-1		0 		18
195		57	27	19	25	-1		1 		18
196		0 	54	19	24	-1		2 		18
197		228	27	19	24	-1		2 		18
198		169	53	27	20	-1		6 		27
199		146	0 	18	26	1 		6 		20
200		230	0 	15	26	2 		0 		18
201		0 	27	15	26	2 		0 		18
202		16	27	15	26	2 		0 		18
203		56	54	15	24	2 		2 		18
204		45	27	5	26	1 		0 		8
205		51	27	5	26	2 		0 		8
206		246	0 	8	26	0 		0 		8
207		248	27	6	24	1 		2 		8
208		145	75	19	20	0 		6 		20
209		113	27	15	25	2 		1 		19
210		126	0 	19	26	1 		0 		21
211		46	0 	19	26	1 		0 		21
212		26	0 	19	26	1 		0 		21
213		77	27	19	25	1 		1 		21
214		20	54	19	24	1 		2 		21
215		24	200	13	11	2 		11		16
216		101	53	20	22	1 		5 		21
217		214	0 	15	26	2 		0 		19
218		198	0 	15	26	2 		0 		19
219		182	0 	15	26	2 		0 		19
220		40	54	15	24	2 		2 		19
221		165	0 	16	26	1 		0 		18
222		155	96	15	20	2 		6 		18
223		75	121	14	20	2 		6 		17
224		160	117	13	20	1 		6 		15
225		174	117	13	20	1 		6 		15
226		188	116	13	20	1 		6 		15
227		117	161	13	19	1 		7 		15
228		162	160	13	18	1 		8 		15
229		142	53	13	21	1 		5 		15
230		0 	184	22	15	1 		11		24
231		156	53	12	21	1 		11		14
232		98	140	13	20	1 		6 		15
233		230	116	13	20	1 		6 		15
234		0 	142	13	20	1 		6 		15
235		176	159	13	18	1 		8 		15
236		82	163	5	20	0 		6 		6
237		250	95	5	20	1 		6 		6
238		56	163	8	20	-1		6 		6
239		216	158	6	18	0 		8 		6
240		14	142	13	20	1 		6 		15
241		131	160	11	19	2 		7 		15
242		28	142	13	20	1 		6 		15
243		42	142	13	20	1 		6 		15
244		56	142	13	20	1 		6 		15
245		103	161	13	19	1 		7 		15
246		190	158	13	18	1 		8 		15
247		38	200	12	10	1 		11		15
248		146	160	15	18	0 		9 		17
249		0 	163	11	20	2 		6 		15
250		242	137	11	20	2 		6 		15
251		244	116	11	20	2 		6 		15
252		204	158	11	18	2 		8 		15
253		129	27	14	25	0 		6 		14
254		158	27	12	25	2 		6 		15
255		72	53	14	23	0 		8 		14
